AC,FM,UC,DL,DS,DP,ASTV,MSTV,ALTV,MLTV,Width,Min,Max,Nmax,Nzeros,Mode,Mean,Median,Variance,Tendency
0.008,0.058,0.007,0.001,0,0,28,2.2,0,12.2,98,55,153,7,1,119,119,120,13,0
0.002,0.038,0.005,0,0,0,40,1.6,1,13.3,93,55,148,6,0,127,124,127,9,1
0,0.02,0.003,0.006,0,0,21,4.7,0,15.7,150,50,200,8,0,116,112,117,23,0
0,0.005,0.008,0.003,0,0,17,4.9,0,22.1,145,53,198,13,0,127,122,126,25,0
0.002,0.003,0.006,0.002,0,0,20,5,0,21.1,148,50,198,11,0,127,124,127,28,0
0.003,0.006,0.006,0.006,0,0,22,7,0,16.6,149,50,199,7,0,129,118,124,75,0
0.005,0,0.008,0.001,0,0,27,1.7,0,14.9,120,77,197,7,0,170,168,170,14,1
0,0.001,0,0.001,0,0,61,0.5,40,6.2,31,130,161,2,0,154,152,154,1,1
0,0.003,0,0,0,0,70,0.3,69,5.1,18,136,154,3,0,150,148,150,0,1
0,0,0,0.001,0,0,58,1.3,53,13.2,126,58,184,12,1,150,148,151,8,1
0.001,0,0.005,0,0,0,25,1.5,0,13.4,103,74,177,10,0,142,143,144,4,1
0.001,0,0.004,0,0,0,44,1,20,11.9,99,81,180,9,2,162,156,159,8,1
0.007,0,0.004,0,0,0,34,1.2,0,10.3,60,119,179,2,0,156,153,155,5,0
0,0,0.005,0,0,0,46,0.8,1,13,37,132,169,4,0,162,158,160,5,1
0.001,0,0.005,0,0,0,45,0.8,2,11.5,30,138,168,3,0,162,157,160,5,1
0.01,0.006,0.003,0,0,0,52,1.6,0,16.2,104,68,172,0,0,144,147,147,14,1
0.008,0.004,0.004,0,0,0,52,1.9,0,17.7,108,68,176,2,0,144,147,147,18,1
0.006,0.003,0.003,0,0,0,56,1.5,1,15.1,108,68,176,3,0,156,150,153,15,1
0.007,0.009,0.002,0,0,0,36,1.4,0,13.6,119,57,176,3,1,148,150,150,12,1
0.003,0.003,0.001,0,0,0,34,1.7,0,22.3,117,57,174,6,1,150,147,150,11,1
0.005,0.01,0.005,0,0,0,35,1.9,0,21.3,140,56,196,5,0,148,150,151,12,1
0.013,0.028,0.001,0,0,0,41,1.1,0,11.4,125,62,187,4,0,167,164,166,11,1
0,0.107,0,0.002,0,0,38,1.5,0,13.3,134,53,187,5,0,133,136,138,6,0
0.002,0.003,0,0.003,0,0,51,2.2,0,7.1,148,52,200,12,4,147,137,145,55,0
0,0.003,0,0,0,0,70,0.3,68,5.3,17,136,153,2,0,150,148,150,0,1
0,0.005,0.002,0,0,0,72,0.3,74,4.6,16,136,152,0,0,150,148,150,0,1
0,0,0,0,0,0,58,0.5,7,9.5,21,135,156,1,0,150,149,151,1,1
0,0,0,0,0,0,63,0.4,30,8.8,35,121,156,3,1,150,149,151,1,1
0,0.001,0,0.001,0,0,60,0.5,49,4.8,83,78,161,3,0,154,152,154,1,1
0.01,0.007,0.002,0,0,0,19,1.9,0,6.8,96,101,197,8,1,133,131,133,5,-1
0.005,0.008,0.002,0.001,0,0,24,1.6,0,14.6,55,97,152,6,2,131,130,132,6,0
0.008,0.013,0.002,0,0,0,24,1.6,0,17.3,84,68,152,4,0,132,132,133,5,1
0.003,0.016,0,0,0,0,22,1.9,0,15.8,82,68,150,5,1,132,130,133,6,1
0.004,0.029,0.003,0.004,0,0,22,2.8,0,17.2,128,56,184,5,1,125,123,126,16,0
0,0.05,0,0.008,0,0,22,3.9,0,13.1,145,52,197,7,1,121,117,121,23,0
0.007,0.058,0.002,0.007,0,0,23,2.2,0,4.4,122,78,200,10,0,131,125,128,20,0
0,0.003,0.006,0,0,0,38,1.2,0,12.5,54,111,165,4,1,133,132,134,2,0
0,0,0.007,0.002,0,0.002,26,4.3,0,19.4,146,50,196,8,1,126,105,113,117,0
0.003,0,0.004,0.004,0,0,30,1.1,1,5.8,53,95,148,3,0,125,124,126,6,0
0.004,0,0.005,0.005,0,0,24,1.3,0,2.1,56,92,148,3,0,121,123,125,7,0
0.006,0,0.006,0.004,0,0,33,1.3,0,4.7,138,61,199,9,1,135,122,127,39,0
0,0,0.003,0,0,0,65,0.4,16,10.8,91,81,172,0,0,163,163,165,2,1
0,0,0.003,0,0,0,62,0.5,6,13.2,91,81,172,0,0,163,163,164,2,1
0,0,0,0,0,0,55,0.5,38,5.8,15,156,171,0,0,165,164,166,0,0
0.001,0,0.008,0,0,0,61,0.4,8,8.6,44,133,177,4,0,165,164,166,1,1
0,0,0.008,0,0,0,66,0.4,13,8.5,24,149,173,0,0,165,164,166,0,1
0,0,0.009,0,0,0,66,0.4,16,7.2,23,147,170,0,0,165,164,166,0,1
0.001,0,0.008,0,0,0,57,0.5,8,9.1,40,148,188,0,0,167,169,170,5,0
0.002,0,0.009,0,0,0,58,0.5,13,8,42,146,188,2,0,167,172,174,8,0
0.003,0,0.003,0,0,0,44,2,0,35.7,147,50,197,8,5,153,155,157,23,1
0.001,0,0.001,0,0,0,51,1.1,10,18,100,72,172,8,1,147,146,147,4,1
0.003,0,0,0,0,0,51,0.9,9,10.6,94,77,171,4,1,153,154,154,5,1
0,0,0.003,0,0,0,57,0.5,20,9.6,48,115,163,5,0,153,152,153,1,1
0.006,0.001,0.004,0.001,0,0,41,1.7,0,8.3,121,52,173,12,1,159,149,154,30,1
0,0,0.008,0,0,0,34,1.1,0,14.6,85,114,199,4,0,126,127,128,3,-1
0.002,0,0.005,0,0,0,38,0.9,14,8.8,39,113,152,2,0,126,128,128,4,0
0.005,0,0.007,0,0,0,35,0.9,13,3.2,33,116,149,1,0,126,128,127,3,-1
0.004,0,0.006,0.001,0,0,32,1.2,10,8.9,81,67,148,2,0,125,124,126,8,1
0.004,0,0.004,0,0,0,31,1.2,10,8.2,57,86,143,4,0,125,125,126,3,1
0.003,0.008,0.001,0.001,0,0,56,3.2,0,41.8,130,54,184,1,0,138,135,139,25,0
0.003,0.007,0.001,0,0,0,53,3.7,0,50.7,130,54,184,1,0,136,135,139,25,0
0.002,0.004,0.002,0,0,0,67,1.5,3,25.8,138,54,192,2,0,136,136,137,7,0
0,0,0.005,0,0,0,48,0.6,26,5.5,12,114,126,1,0,120,120,122,0,0
0.001,0,0.004,0.001,0,0,29,1.3,2,10.6,89,77,166,3,1,121,121,123,4,0
0,0,0,0.008,0,0,37,1.9,0,3.2,90,58,148,4,1,127,121,126,21,1
0,0,0.006,0.008,0,0,38,2.6,0,10.6,128,51,179,7,1,133,125,130,25,0
0,0,0.005,0,0,0,49,2,0,23.3,89,62,151,5,0,133,133,135,8,1
0.001,0,0.004,0,0,0,43,1.1,20,11.3,44,129,173,8,2,162,155,159,8,1
0.002,0,0.006,0,0,0,43,1,19,11.6,44,129,173,8,2,162,155,159,9,0
0.006,0,0.004,0,0,0,32,1.3,0,9,60,119,179,2,0,158,152,155,8,0
0,0,0.004,0,0,0,45,1,20,12.3,99,81,180,8,2,162,156,159,8,1
0.001,0,0.004,0,0,0,44,0.8,2,11.9,33,135,168,4,0,162,157,160,5,1
0.001,0,0.005,0,0,0,46,0.8,2,11.5,31,138,169,3,0,162,158,161,5,1
0,0,0.006,0,0,0,56,0.5,19,7.9,19,148,167,2,0,153,157,158,3,0
0,0,0.007,0,0,0,54,0.5,13,7.7,16,147,163,2,0,153,155,157,2,0
0,0,0.002,0,0,0,49,0.6,3,11.6,27,140,167,0,0,159,156,158,3,1
0.003,0,0.002,0,0,0,49,0.6,0,7,26,145,171,1,0,154,157,158,4,0
0,0.013,0,0.001,0,0,53,0.7,7,12.2,77,56,133,6,0,123,121,123,3,1
0,0.013,0,0,0,0,51,0.8,0,14.8,77,56,133,5,0,123,122,124,2,1
0,0.008,0,0,0,0,54,0.6,12,8.6,24,109,133,0,1,123,122,124,1,0
0,0.008,0,0,0,0,51,0.7,15,7.4,21,109,130,1,1,123,121,123,0,0
0,0.022,0,0,0,0,55,0.9,0,15.1,77,58,135,5,0,123,123,124,5,1
0,0.026,0,0,0,0,53,0.8,0,15.3,69,62,131,3,0,125,121,124,5,1
0,0.007,0,0,0,0,59,0.6,0,7.6,25,111,136,0,0,129,129,130,0,1
0.003,0.01,0,0,0,0,51,0.6,0,4.9,16,125,141,1,0,133,132,134,0,0
0.005,0.021,0,0,0,0,47,0.8,0,6.1,75,68,143,3,0,133,132,133,2,1
0.002,0.006,0.001,0,0,0,61,0.5,3,10.6,83,62,145,4,0,129,131,132,4,1
0.003,0.005,0.002,0,0,0,58,0.5,0,8.3,38,113,151,3,0,129,134,136,6,0
0,0.005,0,0,0,0,61,0.6,4,11.5,89,62,151,4,0,131,129,131,2,1
0.006,0.004,0,0,0,0,53,0.8,0,17.9,104,64,168,3,0,136,134,136,5,1
0.003,0.016,0,0,0,0,52,0.7,0,11.5,80,68,148,10,0,133,134,134,3,1
0.006,0.017,0,0,0,0,44,1,0,4.8,36,120,156,2,0,133,133,133,3,0
0,0.019,0,0,0,0,56,0.5,1,7.4,23,120,143,3,0,133,133,134,1,0
0.007,0.005,0,0,0,0,48,1.1,2,14,84,64,148,2,0,133,132,134,7,1
0.003,0.003,0,0,0,0,52,0.8,2,15.4,90,50,140,7,0,129,128,130,4,1
0.003,0.005,0,0,0,0,55,0.7,0,8.9,71,81,152,4,0,129,129,130,3,1
0,0,0,0,0,0,50,0.8,7,13.8,74,63,137,2,0,129,127,129,2,1
0.003,0.008,0,0,0,0,52,0.6,2,8,21,117,138,0,0,125,127,128,2,0
0.005,0.003,0,0,0,0,58,0.5,4,7.4,22,117,139,0,0,125,128,129,3,0
0,0.005,0.001,0,0,0,66,0.3,46,5.8,21,112,133,0,0,125,124,126,0,0
0,0.005,0.001,0,0,0,67,0.3,57,4.9,14,115,129,1,0,125,124,126,0,1
0,0.009,0,0,0,0,68,0.3,75,3.5,8,120,128,0,0,125,125,126,0,0
0,0.004,0.002,0,0,0,66,0.4,20,6.7,22,109,131,1,0,120,121,122,1,0
0.008,0.006,0.004,0,0,0,43,1.9,0,18.7,124,60,184,10,0,133,137,138,16,0
0.006,0.007,0.002,0,0,0,56,0.5,23,3.8,37,141,178,3,0,157,160,160,4,0
0.003,0.01,0.003,0,0,0,61,0.5,26,7.4,26,139,165,2,0,153,152,154,2,0
0,0.009,0.006,0,0,0,67,0.5,22,14.3,84,72,156,12,0,143,140,143,4,1
0.002,0.008,0.003,0,0,0,57,0.6,26,14.3,91,65,156,7,0,129,131,133,10,1
0,0.009,0.002,0,0,0,51,0.6,37,9.1,30,114,144,3,0,120,125,126,8,-1
0.007,0,0.007,0.005,0,0,14,3.3,0,6.3,124,67,191,8,0,129,125,130,45,0
0.006,0,0.008,0.005,0,0,12,3.4,0,5.7,130,58,188,8,0,129,122,129,41,0
0.007,0,0.005,0.007,0,0,16,3.4,0,0,138,53,191,11,0,153,124,130,136,0
0.012,0,0.008,0.004,0,0,13,3.8,0,1.3,138,53,191,12,1,133,126,131,41,0
0,0,0.006,0,0,0,24,1.7,0,15.8,91,107,198,9,0,135,136,138,7,-1
0,0,0.005,0,0,0,21,1.7,0,12.4,37,114,151,4,0,128,130,131,2,0
0.008,0,0.004,0,0,0,46,1,0,9.3,92,63,155,6,0,133,133,134,7,1
0.005,0,0.003,0,0,0,49,0.7,0,9.7,90,63,153,2,0,133,133,134,4,1
0.01,0,0.007,0.001,0,0,34,1,0,3.1,42,106,148,1,0,126,130,130,7,0
0.002,0,0.001,0,0,0,41,1.1,14,13.4,87,58,145,11,1,127,126,127,4,1
0,0,0,0,0,0,44,0.8,34,6.3,82,59,141,4,0,127,126,128,0,1
0,0,0,0,0,0,41,0.9,23,10.6,83,59,142,4,0,127,125,127,2,1
0.001,0,0.004,0,0,0,54,0.5,9,8.4,29,116,145,4,0,126,128,129,3,0
0,0,0.003,0,0,0,50,0.5,8,7.6,21,116,137,1,0,126,126,127,1,0
0.004,0,0.009,0.002,0,0,50,1.6,7,8.1,118,53,171,7,2,125,126,127,14,0
0.002,0.01,0.003,0.002,0,0,46,1.1,0,15.4,69,95,164,5,0,139,135,138,9,0
0.007,0.003,0.003,0,0,0,44,1.1,0,7.6,58,112,170,6,0,137,136,137,5,0
0,0.004,0,0,0,0,67,0.4,34,7.5,27,129,156,3,0,151,146,149,3,1
0,0.002,0,0,0,0,74,0.3,54,4.9,23,131,154,3,0,151,150,151,0,1
0,0.009,0,0,0,0,58,0.6,1,8.8,39,125,164,3,0,143,142,144,1,0
0,0.013,0,0,0,0,51,1.2,5,19.7,119,56,175,12,0,141,141,143,5,1
0,0.013,0,0,0,0,66,0.5,38,12.8,114,74,188,6,0,147,146,148,2,0
0,0.015,0,0,0,0,74,0.2,78,3.6,14,139,153,0,0,148,148,149,0,0
0,0.012,0,0,0,0,75,0.2,84,2.9,7,145,152,1,0,148,148,149,0,0
0,0.019,0,0,0,0,70,0.3,71,3.8,14,139,153,1,0,150,148,150,0,1
0,0.012,0,0,0,0,75,0.2,52,5.6,16,136,152,1,0,145,144,146,0,0
0,0.006,0,0,0,0,77,0.2,62,3.8,12,138,150,2,0,144,144,146,0,0
0,0.02,0,0,0,0,77,0.2,45,5.8,21,129,150,1,0,146,145,147,0,1
0,0.005,0,0,0,0,61,0.4,35,5.7,18,126,144,1,0,134,135,136,0,0
0,0.006,0,0,0,0,69,0.5,45,11,42,117,159,6,0,153,150,152,3,1
0,0.022,0,0,0,0,74,0.3,56,6.4,25,131,156,4,0,150,150,151,0,1
0,0.028,0,0,0,0,71,0.4,18,7.9,17,139,156,0,0,151,151,152,0,1
0,0.016,0,0,0,0,73,0.3,44,7.3,26,128,154,3,0,150,149,151,0,1
0,0.001,0,0,0,0,56,1,39,16.4,89,67,156,8,0,143,140,142,6,1
0,0,0,0,0,0,62,0.5,71,6.9,97,71,168,3,0,143,142,144,1,1
0.002,0.015,0,0,0,0,54,1,10,16.7,132,66,198,10,0,150,143,146,12,0
0,0.006,0,0,0,0,77,0.2,42,4.6,12,137,149,1,0,142,142,143,0,0
0,0.004,0,0,0,0,78,0.2,57,4.3,12,137,149,1,0,144,143,145,0,0
0,0.004,0,0,0,0,79,0.2,56,4.3,12,137,149,1,0,144,143,145,0,0
0,0.011,0,0,0,0,79,0.3,77,7.9,80,71,151,2,0,145,144,146,1,1
0,0,0,0,0,0,73,0.3,84,3.5,8,131,139,1,0,134,134,135,0,0
0,0.002,0,0,0,0,77,0.2,41,5.3,17,128,145,1,1,142,141,143,0,1
0,0.007,0,0,0,0,78,0.2,59,4.2,11,133,144,1,0,140,139,141,0,0
0,0.007,0,0,0,0,77,0.2,55,4.3,11,133,144,1,0,140,139,141,0,0
0,0.003,0,0,0,0,76,0.3,12,6.1,17,128,145,1,1,140,140,141,0,1
0,0.019,0.002,0,0,0,78,0.2,49,4.8,10,136,146,1,0,142,141,143,0,0
0,0.022,0,0,0,0,78,0.2,86,3.4,8,136,144,1,0,141,140,141,0,0
0,0.006,0,0.003,0,0,67,0.4,25,7.1,25,122,147,1,0,142,138,141,4,1
0,0.007,0,0.005,0,0,61,0.9,16,12.4,129,64,193,9,1,142,138,141,11,0
0,0.009,0,0,0,0,59,0.5,15,9.8,53,95,148,4,0,142,138,142,4,1
0.002,0.009,0,0,0,0,46,1.2,0,16.2,95,60,155,8,0,136,133,135,8,1
0,0.009,0.003,0,0,0,60,0.5,14,11.4,80,68,148,4,0,137,136,138,2,1
0,0.011,0.004,0,0,0,69,0.3,29,5.6,12,129,141,1,0,137,135,137,0,0
0,0.006,0.003,0,0,0,61,0.5,21,9.5,36,108,144,5,0,138,135,137,3,1
0,0.019,0.002,0,0,0,63,0.4,60,4,8,133,141,1,0,136,136,137,0,0
0,0.013,0.002,0,0,0,65,0.4,68,5,25,116,141,3,0,136,135,137,0,1
0,0.008,0.003,0,0,0,61,0.5,4,7.8,16,128,144,1,0,135,135,136,0,0
0,0.008,0.001,0.002,0,0,64,0.4,30,7,41,118,159,2,0,144,143,145,5,0
0,0.009,0.002,0.002,0,0,55,0.7,0,9.3,48,103,151,4,0,144,140,143,5,1
0,0.001,0,0.001,0,0,66,0.4,20,6.8,33,117,150,2,0,144,141,144,2,1
0.009,0.023,0,0,0,0,46,1.1,2,2.9,114,58,172,7,0,154,149,152,8,1
0.001,0.02,0.001,0.001,0,0,56,0.5,17,7.4,51,121,172,4,0,154,148,152,7,0
0.009,0.035,0.003,0,0,0,41,1.1,0,2.9,135,65,200,4,1,133,147,142,60,0
0.005,0.005,0,0,0,0,48,0.7,0,6.3,28,125,153,1,0,135,137,137,2,0
0.011,0.088,0.005,0,0,0,36,1.5,0,0,99,99,198,3,1,186,163,169,106,1
0.01,0.043,0.003,0,0,0,36,1.4,0,9.4,140,55,195,5,3,143,148,143,52,0
0,0,0.001,0,0,0,59,0.5,29,9.8,37,120,157,5,1,146,146,147,2,1
0,0,0.002,0,0,0,46,0.9,0,11.8,116,68,184,5,1,150,147,149,4,1
0,0,0,0,0,0,65,0.4,21,6.5,17,145,162,0,0,156,155,157,0,0
0,0,0,0,0,0,53,0.5,62,4.5,14,151,165,0,0,161,159,161,1,0
0,0,0,0,0,0,48,0.6,68,4,8,154,162,0,0,159,158,160,0,0
0,0,0,0.003,0,0,73,0.9,47,4.8,148,51,199,8,0,154,150,155,29,1
0,0,0,0.005,0,0,70,1.4,48,4.4,149,51,200,10,0,154,147,155,54,1
0,0,0,0,0,0,76,0.3,31,5.4,11,146,157,1,0,154,153,155,0,1
0,0,0,0,0,0,60,0.4,12,5.5,10,144,154,0,0,150,149,150,0,0
0,0,0,0,0,0,55,0.6,0,7.4,21,131,152,2,0,135,139,141,4,0
0.001,0,0.001,0,0,0,68,0.4,47,5.8,65,135,200,3,0,143,143,144,1,-1
0.002,0,0.002,0,0,0,63,0.5,9,7.8,75,125,200,4,0,146,144,146,2,-1
0,0,0.003,0,0,0,64,0.6,26,11.6,85,73,158,7,1,146,145,147,2,1
0,0,0.002,0,0,0,65,0.5,0,9.2,23,129,152,2,1,143,143,145,1,0
0,0,0.002,0,0,0,65,0.6,7,12.9,29,129,158,4,1,150,145,146,5,0
0,0.002,0.005,0,0,0,53,0.6,6,10.8,27,141,168,2,1,163,159,161,2,1
0,0.001,0.005,0,0,0,53,0.8,3,19.7,91,102,193,3,0,161,159,161,3,0
0.013,0.006,0.003,0,0,0,40,1.3,0,7.1,89,68,157,5,1,133,134,136,9,1
0.012,0.009,0.001,0,0,0,39,1.3,0,6.6,98,102,200,7,1,133,131,132,8,-1
0.011,0,0,0,0,0,37,1.6,0,12.2,126,68,194,3,1,127,133,134,12,0
0.007,0,0,0,0,0,44,0.9,0,7.7,38,118,156,3,0,138,137,139,3,0
0,0,0.006,0.006,0,0,64,1.1,26,3,150,50,200,11,2,156,150,156,38,1
0,0,0.008,0.005,0,0,61,1.3,15,10.5,150,50,200,8,1,156,148,155,42,1
0,0,0.006,0.006,0,0,53,2.9,3,21.4,149,51,200,11,7,156,147,155,75,1
0.001,0.003,0.001,0.002,0,0,55,1.3,10,15.5,115,52,167,12,3,148,143,147,17,1
0,0.003,0,0.001,0,0,60,0.6,7,8.5,110,57,167,3,0,144,149,149,10,1
0,0.003,0,0,0,0,61,0.4,8,6.7,16,140,156,0,0,148,147,149,0,0
0,0.003,0,0,0,0,58,0.5,5,7.8,26,141,167,1,0,147,151,151,6,-1
0,0.004,0,0,0,0,68,0.3,39,6.7,15,136,151,1,0,142,142,143,0,0
0,0.006,0,0,0,0,69,0.3,39,6.5,14,137,151,1,0,142,142,143,0,0
0.007,0.003,0,0,0,0,58,0.6,3,3.9,95,70,165,5,0,142,143,144,2,1
0,0.004,0.001,0,0,0,53,0.6,13,9.9,22,125,147,2,0,137,136,137,1,0
0.007,0.054,0.005,0.001,0,0,34,2.2,0,19,107,52,159,2,0,133,135,137,22,1
0.006,0,0.001,0,0,0,42,1.8,0,15.5,116,70,186,8,1,153,151,152,14,1
0.004,0,0,0,0,0,45,1.1,0,16.1,100,70,170,1,0,153,151,152,7,1
0.003,0.002,0.002,0,0,0,62,0.4,13,7.9,35,106,141,2,0,120,122,122,3,0
0.006,0.001,0.001,0,0,0,51,1.3,3,11.1,113,59,172,16,1,117,127,129,23,0
0,0.002,0.001,0.001,0,0,78,0.6,23,11,126,74,200,5,0,146,145,147,3,0
0,0.001,0.001,0,0,0,83,0.3,31,5.8,38,132,170,2,0,144,144,145,0,-1
0,0.002,0.002,0,0,0,84,0.3,31,5.7,38,132,170,2,0,144,143,145,0,-1
0,0.002,0,0,0,0,81,0.4,28,6.6,34,130,164,2,0,152,152,153,1,0
0,0,0.001,0,0,0,81,0.4,17,7.1,44,130,174,2,0,152,150,151,1,0
0,0.001,0,0,0,0,84,0.3,32,6.2,20,136,156,0,0,150,150,151,1,1
0,0,0.001,0.001,0,0,62,0.5,8,10.1,87,70,157,1,1,148,145,148,4,1
0,0,0.001,0.001,0,0,60,0.5,5,7.5,46,111,157,1,1,148,146,148,4,1
0,0,0,0.002,0,0,57,0.5,0,7.3,46,111,157,1,1,150,146,149,6,1
0,0,0,0,0,0,64,0.5,37,7.6,76,84,160,5,0,141,140,142,1,1
0,0.002,0.001,0,0,0,61,0.6,17,14.4,84,74,158,10,1,145,144,146,3,1
0,0.001,0,0,0,0,64,0.4,19,6.5,17,137,154,2,0,144,144,145,0,0
0.008,0.003,0,0.001,0,0,35,1.2,0,5.1,119,62,181,6,0,133,138,134,27,0
0.006,0,0,0.002,0,0,33,1.3,0,6.9,96,79,175,4,0,129,135,133,27,0
0.01,0.003,0,0,0,0,34,1.2,0,3.6,119,62,181,6,0,133,139,135,26,0
0.011,0.058,0.001,0,0,0,35,2.4,0,11.4,121,55,176,10,0,167,149,157,72,1
0.016,0.084,0.002,0,0,0,34,2.1,0,3,132,50,182,8,0,159,151,155,25,1
0.014,0.084,0.001,0,0,0,34,2.1,0,5.6,132,50,182,10,0,159,150,155,26,1
0.015,0.017,0.001,0,0,0,31,3.2,0,7.1,133,53,186,10,1,150,144,149,25,1
0.006,0.015,0.004,0,0,0,39,1.2,0,12.8,123,59,182,8,0,129,138,135,25,0
0.008,0.003,0.002,0,0,0,49,0.7,0,4.9,39,153,192,0,0,163,166,166,6,-1
0.006,0.004,0.002,0,0,0,50,0.6,0,5.6,39,153,192,1,0,165,166,166,4,-1
0.009,0.004,0.001,0,0,0,48,0.7,0,5.3,39,153,192,1,0,163,167,166,6,-1
0.006,0.002,0.003,0,0,0,48,0.7,0,7.4,66,123,189,3,2,161,164,164,8,0
0.007,0.001,0.002,0,0,0,45,0.8,0,3.5,47,142,189,2,1,161,166,165,10,0
0.003,0.003,0.003,0,0,0,56,0.6,1,9.2,31,140,171,1,0,161,160,162,2,1
0.009,0.029,0.005,0,0,0,42,1,0,3.7,105,76,181,3,0,133,141,140,15,0
0.002,0.005,0.003,0,0,0,40,1.1,4,12.5,86,66,152,3,0,129,129,131,3,1
0.008,0.027,0.002,0,0,0,41,0.9,0,13.2,47,151,198,4,0,186,178,180,15,0
0.014,0.06,0.003,0,0,0,38,1.3,0,0,62,127,189,8,0,180,171,176,22,1
0.016,0.071,0,0.002,0,0,32,3.1,0,1.6,149,51,200,10,0,167,154,160,55,1
0,0.001,0,0,0,0,60,0.6,22,13.1,96,71,167,3,0,143,144,144,3,1
0,0,0,0,0,0,63,0.5,36,7.5,96,71,167,3,0,143,141,143,1,1
0.001,0.001,0,0,0,0,52,1,18,14.8,102,74,176,8,1,142,141,143,3,1
0,0.001,0,0,0,0,65,0.6,28,14.9,93,72,165,4,0,144,144,146,3,1
0,0,0,0,0,0,65,0.5,24,10.4,111,56,167,4,0,143,144,145,1,1
0.007,0.001,0.001,0,0,0,51,0.8,0,8.7,92,74,166,4,0,159,155,157,5,1
0.003,0.003,0,0,0,0,54,0.6,0,6.6,21,145,166,0,0,157,156,158,1,0
0.001,0,0.001,0,0,0,52,0.8,0,16.2,108,57,165,7,0,146,145,147,4,1
0,0,0.002,0,0,0,53,0.7,0,14.8,84,72,156,4,0,143,145,146,3,1
0,0,0.002,0,0,0,70,0.3,40,5.3,14,139,153,1,0,146,146,147,0,0
0,0,0,0,0,0,63,0.4,23,10.4,31,123,154,4,0,146,144,147,1,1
0,0.002,0.003,0,0,0,58,0.5,15,8.1,23,130,153,1,0,144,143,145,1,0
0,0,0.003,0,0,0,61,0.4,22,6.9,19,133,152,1,0,144,143,145,0,0
0.003,0,0.008,0.003,0,0,35,5,0,29.3,126,50,176,10,1,148,143,148,43,1
0.003,0,0.008,0.004,0,0,38,3.5,0,21.7,127,50,177,5,0,143,141,145,25,1
0.003,0,0.003,0.002,0,0,40,2.9,0,27.3,144,51,195,6,2,133,134,138,27,0
0.005,0,0.005,0.003,0,0,36,2.5,0,8.7,144,51,195,7,2,133,134,134,38,0
0.004,0,0.004,0.004,0,0,35,2.8,0,11.6,144,51,195,8,1,127,133,131,53,0
0,0,0,0.007,0,0,37,1.8,0,3,90,58,148,4,1,127,121,126,21,1
0.001,0,0.01,0.003,0,0,37,2.8,0,16,136,55,191,9,1,129,130,129,37,0
0,0,0.01,0.005,0,0,46,2.1,0,11.6,114,50,164,8,1,129,123,128,17,1
0.007,0,0.005,0.003,0,0,45,2.8,2,10.4,128,51,179,9,1,133,132,135,24,0
0.008,0,0.008,0.006,0,0,42,2.4,0,4.5,149,50,199,12,2,133,130,133,24,0
0.001,0,0.007,0.006,0,0,39,2.7,0,18.9,128,51,179,6,0,133,125,130,24,0
