date,return
19910628,0.00099
19910731,0.03200
19910830,0.03767
19910930,0.01800
19911031,0.01281
19911129,0.02031
19911231,-0.00352
19920131,0.33700
19920228,0.11654
19920331,0.01133
19920430,-0.06105
19920529,0.00752
19920630,-0.02398
19920731,0.00205
19920831,-0.03961
19920930,0.00104
19921030,0.00812
19921130,0.07690
19921231,0.02790
19930129,0.16957
19930226,0.00410
19930331,0.03287
19930430,0.00806
19930528,0.05137
19930630,0.02264
19930730,0.02721
19930831,0.01271
19930930,0.05741
19931029,0.06083
19931130,-0.01897
19931231,-0.02570
19940131,0.07679
19940228,0.01448
19940331,-0.03060
19940429,-0.03814
19940531,0.02404
19940630,-0.04797
19940729,0.00666
19940831,0.00359
19940930,0.02413
19941031,-0.00584
19941130,-0.04062
19941230,-0.04116
19950131,0.07659
19950228,0.00530
19950331,0.00854
19950428,0.02216
19950531,0.01722
19950630,0.06082
19950731,0.06403
19950831,0.05474
19950929,0.05282
19951031,-0.05969
19951130,-0.02773
19951229,0.00873
19960131,0.09156
19960229,0.06005
19960329,0.04106
19960430,0.07264
19960531,0.12420
19960628,-0.03507
19960731,-0.10948
19960830,0.02284
19960930,0.00939
19961031,-0.04076
19961129,0.00689
19961231,-0.02153
19970131,0.14291
19970228,-0.00971
19970331,-0.06309
19970430,-0.04244
19970530,0.02546
19970630,0.03495
19970731,0.02713
19970829,0.04961
19970930,0.07392
19971031,0.01684
19971128,-0.03881
19971231,-0.06711
19980130,0.07871
19980227,0.04058
19980331,0.03804
19980430,0.05111
19980529,-0.03992
19980630,-0.06114
19980731,-0.06326
19980831,-0.20193
19980930,0.00476
19981030,-0.00350
19981130,0.11268
19981231,-0.01040
19990129,0.17988
19990226,-0.00845
19990331,-0.02430
19990430,0.09185
19990528,0.02962
19990630,0.00250
19990730,0.03896
19990831,-0.04227
19990930,0.00448
19991029,-0.00466
19991130,0.12549
19991231,0.14636
20000131,0.20774
20000229,0.24042
20000331,-0.02766
20000428,-0.17038
20000531,-0.08706
20000630,0.05643
20000731,-0.02383
20000831,0.06882
20000929,-0.03008
20001031,-0.10628
20001130,-0.12251
20001229,-0.07285
20010131,0.54292
20010228,-0.13406
20010330,-0.11274
20010430,0.04237
20010531,0.08101
20010629,-0.00551
20010731,-0.02055
20010831,-0.01843
20010928,-0.11833
20011031,0.06768
20011130,0.05930
20011231,0.05254
20020131,0.10328
20020228,-0.04911
20020328,0.08624
20020430,0.01089
20020531,0.00239
20020628,-0.02177
20020731,-0.08421
20020830,0.02118
20020930,0.00523
20021031,-0.02363
20021129,-0.03698
20021231,0.10892
20030131,0.08494
20030228,-0.01411
20030331,0.00694
20030430,0.09644
20030530,0.20256
20030630,0.07515
20030731,0.07718
20030829,0.06400
20030930,0.06338
20031031,0.12343
20031128,0.06264
20031231,0.02430
20040130,0.14811
20040227,0.00605
20040331,0.02287
20040430,-0.01993
20040528,-0.00459
20040630,0.00743
20040730,-0.07111
20040831,-0.03307
20040930,0.02910
20041029,0.02058
20041130,0.09235
20041231,0.07895
20050131,-0.02235
20050228,0.00722
20050331,-0.01270
20050429,-0.05241
20050531,0.05959
20050630,-0.02723
20050729,0.06368
20050831,-0.01012
20050930,0.02486
20051031,-0.03388
20051130,0.02712
20051230,0.00867
20060131,0.09616
20060228,0.00945
20060331,0.04407
20060428,0.01672
20060531,-0.06329
20060630,-0.00618
20060731,-0.03538
20060831,-0.00685
20060929,0.00628
20061031,0.03864
20061130,0.03859
20061229,0.01514
